Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintainance,add module,move module,remove module,split module,add package,remove package,update package,liscence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,Validity Assurance(Deprecated),evaluating chng(Deprecated),param list chng,add config,"revert(deprecated, merge with source control)",util optimization(Deprecated)
98,https://github.com/google/youtube-8m/commit/b5baf78d3f3c1c8f470d29624ad385051dc15da0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,https://github.com/google/youtube-8m/commit/f03b29494e2bf5066a63e4534ac3ce9243bfc782,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,https://github.com/google/youtube-8m/commit/d2955e4b4b4dc44a1812db097ce64707d9649f25,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,https://github.com/smallcorgi/Faster-RCNN_TF/commit/7fded7ebd94f05dc5a2a0ce3eb58b0210c198fbd,,,,,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,https://github.com/jakeret/tf_unet/commit/f5febfdc5a587eaf6a79a953fa3a36cf5bea8612,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,https://github.com/jakeret/tf_unet/commit/02727e233543e6b742dec0c1c9933007b68249dd,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,https://github.com/eragonruan/text-detection-ctpn/commit/a4a5caa9ec06768fed886343c087ea5f6b4941c3,Rater_1Rater_0,,Rater_1Rater_0,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,
251,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/2ca0efb80ea45f02719761e6673091dae8ae3e8c,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,https://github.com/GeorgeSeif/Semantic-Segmentation-Suite/commit/88f5f23b6d099d657ad1575a171075bffbc31d10,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,
445,https://github.com/jakeret/tf_unet/commit/144641aad5289b7edef6195d21fb55dafd3f6187,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,https://github.com/CharlesShang/FastMaskRCNN/commit/9c1e56f7de2dee4b9963a550f7f7d70f83bc8b33,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,https://github.com/atriumlts/subpixel/commit/3fb99c72fd975c1d5a3d5110ed5bf6ed79ba112d,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
