Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintainance,add module,move module,remove module,split module,add package,remove package,update package,liscence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,Validity Assurance(Deprecated),evaluating chng(Deprecated),param list chng,add config,"revert(deprecated, merge with source control)",util optimization(Deprecated)
89,https://github.com/google/youtube-8m/commit/ec47c61f69c77d2f50b20dd6e516019275c7eaee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
202,https://github.com/smallcorgi/Faster-RCNN_TF/commit/3e81c38dad977c71d3bfd0b7244cbb8cdf0466af,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,,,,,,
254,https://github.com/commaai/research/commit/428f1dba063607200b3022e0ea7ef3a6c700876f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
341,https://github.com/atriumlts/subpixel/commit/0852d4b49d38f02cf2e699a63f6b5fec63ef7ea7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
365,https://github.com/davidsandberg/facenet/commit/ebd41534269cfb55961e0cc738380abb60807f9c,,,,,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
417,https://github.com/thtrieu/darkflow/commit/ea141f91e59e8b8da92e2292f00bb601e0e69008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
418,https://github.com/thtrieu/darkflow/commit/a7cf5a97532a368e70893240c01893fcb0dee6bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
436,https://github.com/jakeret/tf_unet/commit/bfd9da2a6eb8acb286f78ff6a95ce5e5744f3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
437,https://github.com/jakeret/tf_unet/commit/9f0e79b6a38c0bbb26d674d83851e18ca0f379cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
441,https://github.com/jakeret/tf_unet/commit/44a09751e081506cd816e3eee1ecffc7303b65d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,
