Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
9,https://github.com/endernewton/tf-faster-rcnn/commit/c99c225f23909d38811ab7957eac2db2859eea5b,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1,Rater_2Rater_0,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,,,
37,https://github.com/anishathalye/neural-style/commit/f86488228adc21d7edf03ccffa727e9fc9d5d9e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
42,https://github.com/davidsandberg/facenet/commit/e13d5a96e03a5ebf4db2d13418551eef8d1c1a3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
120,https://github.com/google/youtube-8m/commit/4dcf78410818bf5d3ddb330e7f3a95c4e5c0b426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
150,https://github.com/lengstrom/fast-style-transfer/commit/3170a105c63e5e62f7e938a205984eb4089e7bb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
181,https://github.com/thtrieu/darkflow/commit/c052b6670a23c8a55866f9e4dcf0ae8476f00f17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
183,https://github.com/thtrieu/darkflow/commit/dbaebd395200cfb04460d7d20a2f8d376cc9d2fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
184,https://github.com/thtrieu/darkflow/commit/a2bf2a54e3d6f2414bb35e049dcbe9b2c6156631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
185,https://github.com/thtrieu/darkflow/commit/ed4265970d9c5b99a06532f98359756abd585820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
193,https://github.com/thtrieu/darkflow/commit/fe1966aeafbc43fb6be87c7b4726542476b134ed,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
205,https://github.com/MarvinTeichmann/tensorflow-fcn/commit/30857c07f0355dfb953876a461fc4268d0a6f50f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
332,https://github.com/cysmith/neural-style-tf/commit/8e444ab2ad4dcbec48c1fe775c4512fa4ed390a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
344,https://github.com/endernewton/tf-faster-rcnn/commit/5f6558d2ef15400e01f925e0d396c99e4ecc7f61,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
351,https://github.com/MarvinTeichmann/KittiSeg/commit/4aee77e5bedb5803826aa0a0e09d827a1507f675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
362,https://github.com/davidsandberg/facenet/commit/9ccc2e6735421bfb6f5c6b282b57faecbef1737e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
364,https://github.com/davidsandberg/facenet/commit/48992d9079bf8d2e4b552cf8e2c0679330cd0734,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
401,https://github.com/lengstrom/fast-style-transfer/commit/fdc3f6974851d630da16c775bc498997d74b2e35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
403,https://github.com/lengstrom/fast-style-transfer/commit/64006153e172a56ea1ff60ddf0a61b6c5aa0e84a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
422,https://github.com/thtrieu/darkflow/commit/d32d60faa13b8d7732bda8c07a79988b6ecff8c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
458,https://github.com/eragonruan/text-detection-ctpn/commit/608ef5f51386858272be067c78e9832fdacbb2c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
