Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
192,https://github.com/thtrieu/darkflow/commit/327f4a168c47b647d74c7ae7c9443a3cf1585e4a,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,https://github.com/thtrieu/darkflow/commit/fe1966aeafbc43fb6be87c7b4726542476b134ed,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
260,https://github.com/commaai/research/commit/fa9681944555b5424b6947550352cc4f51f46405,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,https://github.com/AlexEMG/DeepLabCut/commit/d3ed9640d898cfc5bfbe2a1ff780ef6141edce7c,,Rater_1Rater_0,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/0e8c609bb55c995b1f94a7867d1fc3cdb69e3259,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,
17,https://github.com/IAC-Team/SemSeg/commit/99d023ed07641cdd51f3c8948c4e9e3716c509b5,,,,,,Rater_0Rater_2Rater_1,,,,,,,Rater_0Rater_2Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://github.com/wuqianliang/facenet/commit/aa9e319e2185c3c4955541f881cc0abc49f2a422,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://github.com/seonho/facenet/commit/daebfde38a2d9a01b3debbd4cbaceb402ad3bde1,,,Rater_0Rater_1,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,Rater_0Rater_1,,
37,https://github.com/kilgore92/facenet/commit/02eb2a4f1f0e3c24b908e666611e106ddeeaeb42,Rater_0Rater_2,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,
38,https://github.com/huafengw/facenet/commit/61c05a50a3288b6913e57aa44deeaf245a2a9f33,,,,,,,,,,,,,Rater_0Rater_1,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,https://github.com/modanesh/facenet/commit/97730f22b2cefc42283c6ee7d8018fed3a97e0cf,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,https://github.com/jojolin/facenet/commit/cfadcf86e847adeb09d426f43d126a2f4ebe78ca,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,
65,https://github.com/sadicLiu/facenet/commit/8dba8547f2112109cbddced6e6f148a4403c7134,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,
82,https://github.com/BoseAslCohort/youtube-8m/commit/c1b01315bafc24e83248cd862a9324bb21d4d52d,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,
116,https://github.com/peetonn/fast-style-transfer/commit/2cf5909f9029d9b4e5800c215ee7ca33c0c482a9,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,https://github.com/jacklone/darkflow/commit/472ee0f43b1d72829eb1cb85492a0588eebd7cb4,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,https://github.com/goan15910/Faster-RCNN_TF/commit/de7dd6be5c55d43017b5ae18c893994b7d2126a4,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,
197,https://github.com/billstark/CRNN_Tensorflow/commit/77b0863a67ad4bcb82a30100ad271f964d65269f,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,,,,,,
217,https://github.com/ilaripih/TensorBox/commit/49241e8527bfc70f266f0d60212a4a2ea2d3c3d4,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,https://github.com/ruqiang826/TensorBox/commit/8dee2634c679708c835d0dfcec57b7f1f0d87c8b,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,,
233,https://github.com/MrCodeJun/PointCNN/commit/7d84cb7ca4d037da0a7ce6df75520c2cdf449d9a,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,https://github.com/limbo0000/Realtime_Multi-Person_Pose_Estimation/commit/3eed0b2c41782aba4f9d76154ef48169eeef8883,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,https://github.com/StephenBydawell/tf-faster-rcnn/commit/60fe4aaecbf8486ad759fb24799e5269d94c48c1,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
257,https://github.com/csmiler/tf-faster-rcnn/commit/8cb445450513e03e4aea65594050cbdc725fe699,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,https://github.com/kenh1991/facenet/commit/1debc9dc14c6dc77dbf398e9cc4dc6147f4c3d06,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,https://github.com/ZhenyiZhao/CapsNet-Tensorflow/commit/53f70d1f0aec7a373a57ff92ba713685db28df99,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,
300,https://github.com/ZhenyiZhao/CapsNet-Tensorflow/commit/cc868b27094e61819cae7102db52542341d93341,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,https://github.com/jmcarpenter2/deep_sort_mcdat/commit/2214d2a74dacb35ddb786fb8868a6b9c6a55013d,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,https://github.com/russelldj/deep_sort/commit/082d9d22576e0a51643dcfbcf68e40478f1fe846,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,
306,https://github.com/ashnarayan13/deep_sort/commit/77556dd0252c7fa60f333359c81445e8900d6f17,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,
318,https://github.com/tambetm/fast-style-transfer/commit/5e86b2cbbb6e3cf74249f4e2367bc51a4c745182,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,https://github.com/rjdbcm/darkflow/commit/5139613e577c044d17ed4632ef45f93f92940de0,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,
341,https://github.com/ICRAR/rgz-faster-rcnn/commit/18f537c6078bcf5b7e41508f09c6e979e6e4445b,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,https://github.com/goan15910/Faster-RCNN_TF/commit/0ed8945b1cb022896c51621f9a3cc372cc7e9000,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,
348,https://github.com/goan15910/Faster-RCNN_TF/commit/6fa57dc7d66f73f17d979f5db4696eba5001d3fe,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,https://github.com/lcssos/Faster-RCNN_TF/commit/65b022d7ae9f0880ba78a44e0ab01400e02a527b,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,
353,https://github.com/DSLituiev/tf_unet/commit/f2af6bf540a2506c1e52654aba5e22f04e14f0dd,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,https://github.com/tch/PointCNN/commit/891f3e04b44805b066865aeef1275ac6f217c58f,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,https://github.com/bf777/DeepLabCut/commit/6d5ecc81d09915289dc7f50586340e26af6f63db,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
