Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
0,https://github.com/endernewton/tf-faster-rcnn/commit/0e9309bf6f8a1afaf033b7225abdacf9a60779fc,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://github.com/endernewton/tf-faster-rcnn/commit/acb364301211c6564985769dbd215f6e5abccb1d,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://github.com/endernewton/tf-faster-rcnn/commit/83744d0260666d96924e5dd834ce047fb758a08c,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://github.com/endernewton/tf-faster-rcnn/commit/41508f157f811ee34dbe8eacc94a45a8f45e777f,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,https://github.com/google/youtube-8m/commit/09774db80a515b667a91b14fe21a6134f3856c7a,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,https://github.com/google/youtube-8m/commit/6565ce898649d670bc763dc2cc2b700a24e9870e,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
163,https://github.com/thtrieu/darkflow/commit/b52e68760b6ba903ac0a95c009144fb55b9e27ca,,,,,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,https://github.com/thtrieu/darkflow/commit/fe1966aeafbc43fb6be87c7b4726542476b134ed,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,
237,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/a4565dec2f4a36e3dfc6d055dd6e2a16a3bf817b,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
248,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/e798df10742241f1ec57031792b6fb24576a6ee1,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,
365,https://github.com/davidsandberg/facenet/commit/ebd41534269cfb55961e0cc738380abb60807f9c,,,,,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,
