Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
3,https://github.com/endernewton/tf-faster-rcnn/commit/ce4a8acc617d2b9665135a569e74186bb79a2457,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://github.com/endernewton/tf-faster-rcnn/commit/be1a02a1348900621d738eb038f4f479666a1983,,,Rater_1Rater_0Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://github.com/endernewton/tf-faster-rcnn/commit/132154bb38f229a469791b3a532d1a334aebadb7,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://github.com/MarvinTeichmann/KittiSeg/commit/e565e20e1cae5026bdabbfcf2ed292f8471a8197,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://github.com/MarvinTeichmann/KittiSeg/commit/3d1112b0098baa3669b2aa29c37398206dc0dccb,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://github.com/MarvinTeichmann/KittiSeg/commit/ec6b5ccb6f30ac6591d03faa2fa0bf8b1fdbf3ef,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,https://github.com/davidsandberg/facenet/commit/189bfa1e81917dcf6e30f027853fcf49e40d29d0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,https://github.com/davidsandberg/facenet/commit/fae7ec5b8f8a9e69b03bce91b719e9e90a09732c,,,Rater_1Rater_0,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,https://github.com/davidsandberg/facenet/commit/b99b029938cb9a316c0f44d95340773771025c1f,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,https://github.com/davidsandberg/facenet/commit/55c91d02b8dc8d9182fe9be9e5bf409b4d118097,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,https://github.com/davidsandberg/facenet/commit/90616243bedf91ee19173b5c6496caea885ee5f6,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,https://github.com/davidsandberg/facenet/commit/2071e08b62eafde641550f1c76696b346016503c,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,https://github.com/google/youtube-8m/commit/907e75b75fd9f1ea51f661d70aa65cf10708b4de,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,https://github.com/google/youtube-8m/commit/09774db80a515b667a91b14fe21a6134f3856c7a,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,https://github.com/google/youtube-8m/commit/21782922ad26be5f82214116cf9b8d22e06026fe,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,https://github.com/google/youtube-8m/commit/d5c5d8a2036211b4d02dd5b955b9be4ec19c609f,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,https://github.com/google/youtube-8m/commit/2136b0f775599f33ab85f6f1fd1f4635b5e84eb8,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,https://github.com/google/youtube-8m/commit/6565ce898649d670bc763dc2cc2b700a24e9870e,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
124,https://github.com/google/youtube-8m/commit/3062507069b8f677dc22ae079c179b936f601459,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,https://github.com/naturomics/CapsNet-Tensorflow/commit/e720c430d40e43aa30359a1190f6c04867367439,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,https://github.com/naturomics/CapsNet-Tensorflow/commit/f536f12b89f60255d8f31c052fcd1e11a909b42f,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,https://github.com/lengstrom/fast-style-transfer/commit/31bfc7c1ce9dac771dbd5e2edf2d5e789d8b1aaa,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,https://github.com/lengstrom/fast-style-transfer/commit/694969bb96657acaee5728c1320c50eb49f5e2ff,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,https://github.com/thtrieu/darkflow/commit/4a5effc0777950ce33f6d3914ae7acf9e7ea5078,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,https://github.com/thtrieu/darkflow/commit/bf868ac056512b3ccd9a1a6eebfc62cd762c6bb9,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,https://github.com/thtrieu/darkflow/commit/91eedd21dbaabb7d1d5a18ca1ee99ca956b91bd4,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,https://github.com/thtrieu/darkflow/commit/5a1d428c2108a15035247e8359f9e159abcc4fe2,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,https://github.com/thtrieu/darkflow/commit/5afde9c299301a03aa017754b94db3259bcbd9f4,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,https://github.com/thtrieu/darkflow/commit/530403c182aa83933c88885de677071acce55a0f,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,https://github.com/thtrieu/darkflow/commit/bd14a7cfef8da90527356a3e6f315b5cc32e9c34,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,https://github.com/thtrieu/darkflow/commit/43438f1aae3ff3c61cb96f7c4c21179c12afbf55,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,https://github.com/thtrieu/darkflow/commit/a1a09f12342ebe3b397d2d9c08e47cb5292c0054,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,https://github.com/thtrieu/darkflow/commit/abf7ff39856be179ec4bc1ec72c5a0df7ae62b25,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,https://github.com/MarvinTeichmann/tensorflow-fcn/commit/6aaa7eaf8ec55e694b7f67c0ee5854e1a26914c3,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,https://github.com/jakeret/tf_unet/commit/d08d48e05ec99506dca95ed2955ab10facd8e84e,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,https://github.com/jakeret/tf_unet/commit/64ef74050629e45e46090b3e79375788223786ba,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,https://github.com/eragonruan/text-detection-ctpn/commit/a4a5caa9ec06768fed886343c087ea5f6b4941c3,Rater_1Rater_0,,Rater_1Rater_0,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
221,https://github.com/eragonruan/text-detection-ctpn/commit/434f2ce79639f1f6573be846d114be342694d098,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
