Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
13,https://github.com/endernewton/tf-faster-rcnn/commit/334ed99fafe4ff009340c2b2fbc72cf41dc760b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
15,https://github.com/endernewton/tf-faster-rcnn/commit/059dd6cb46cceb893c9a2e2b735513fc083d1c71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
17,https://github.com/endernewton/tf-faster-rcnn/commit/917da5a52e4a4cd829990624ee15d45b85366807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
22,https://github.com/endernewton/tf-faster-rcnn/commit/b1077ef02a903652c34b949013bc6f354d91bcc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
38,https://github.com/anishathalye/neural-style/commit/a68acb02ec9cb5dfcbf1ce0a876f156fe809a957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
53,https://github.com/davidsandberg/facenet/commit/15bd6a42bd07728e5400a386e93414d9a7f52993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,
64,https://github.com/google/youtube-8m/commit/6bfe78cafdf089e756a1e4ce86c672e96042d62a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
82,https://github.com/google/youtube-8m/commit/72f42cd938d3cf4f928614a5fcdca237489e7c92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
83,https://github.com/google/youtube-8m/commit/ce58c0632f58679f5b87f22febf83a032dd2fe1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
84,https://github.com/google/youtube-8m/commit/925e1298b4963cb6eda672242853f2223497a3ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
127,https://github.com/google/youtube-8m/commit/32572daa9706f3c5cd4524feee36d47f1c6641a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,
202,https://github.com/smallcorgi/Faster-RCNN_TF/commit/3e81c38dad977c71d3bfd0b7244cbb8cdf0466af,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,,,,,,,,
220,https://github.com/eragonruan/text-detection-ctpn/commit/a4a5caa9ec06768fed886343c087ea5f6b4941c3,Rater_1Rater_0,,Rater_1Rater_0,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
232,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/e8982531d6d38514237343d6df8e10d5e87c0058,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
237,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/a4565dec2f4a36e3dfc6d055dd6e2a16a3bf817b,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
252,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/9c38cd3ec066a75ae078018fa6c5da4bd74af478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
253,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/d8bfd26491f7b3b36b6241224c6b5f2337e14199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,
413,https://github.com/thtrieu/darkflow/commit/b9e640cd66b13f874ac5e13b9dc60e0b91c773f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,
