Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
4,https://github.com/endernewton/tf-faster-rcnn/commit/560489ea501241fcd4d0989d178acd02cbb14438,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,https://github.com/google/youtube-8m/commit/610479a1fc09f4ebafcffbc3f62bf91e2b366058,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,https://github.com/google/youtube-8m/commit/09774db80a515b667a91b14fe21a6134f3856c7a,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,https://github.com/google/youtube-8m/commit/d65ca6a05121c2e5dfc211667017c488a67c8389,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,https://github.com/thtrieu/darkflow/commit/ccc92269f1b3bd23ef3486b9fc80c23aa3d8ad41,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,https://github.com/thtrieu/darkflow/commit/a22042dd0bdee20e30fb96206c183c6f684bda0a,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/1d1d03d4807123364331fbe429ec1019a4467d45,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,https://github.com/davidsandberg/facenet/commit/ffcd67fc9d8690f7e3336b84cc195fde8ecf8de5,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,https://github.com/google/youtube-8m/commit/52e248ff4ec59381d7d366946599ac2f1f28e8e6,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,https://github.com/google/youtube-8m/commit/d356e4fddc45b1e7dfd87503bb4638e16cc1f9d7,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
404,https://github.com/lengstrom/fast-style-transfer/commit/021750b19cabf8e9165d4c15bcd3cc0b1e4bf05d,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,https://github.com/lengstrom/fast-style-transfer/commit/c13e90cf94b0b794e07ec9964ba6a36076f6255d,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,https://github.com/yangyanli/PointCNN/commit/f2c857a5d3518c4d7050d3a5ec3393b79a081a9c,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,https://github.com/AlexEMG/DeepLabCut/commit/80f54fbb6ff01429293bae190b347ff15ea84c5c,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,https://github.com/AlexEMG/DeepLabCut/commit/1d25d28d48d894e36916f3ccbe3b12fec7782950,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/4a0300f0f982846abd47acad94d99de978a10b72,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,
8,https://github.com/nikolaevra/tf-faster-rcnn/commit/a7b4412737db3c4556242912d6108d27207e9883,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_2,,,Rater_0Rater_2,,,,,,Rater_0Rater_2,Rater_0Rater_2,,,Rater_0Rater_2Rater_1,,,,Rater_0Rater_2,,,,,,,,,,
10,https://github.com/VCL-WHU/tf-faster-rcnn/commit/d91f99ef942dad90a5f0c05fe05c29c443fa1f60,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_2Rater_1,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,
19,https://github.com/evanthomas/neural-style/commit/31de3772fc253984a017ed08ccd27587d3511d38,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,
29,https://github.com/Bruceeeee/facenet/commit/00e0d669f8a14d14fb1fca860bc30490ac3ab251,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,
56,https://github.com/svebk/facenet/commit/d7ede139abf8c06400b278d12d2b12b769a8637a,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,https://github.com/svebk/facenet/commit/39e72202332c70849e2613d8a675fe3bbf5b797f,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,https://github.com/eewindfly/facenet/commit/16c64e0c677cb23ddd7d2b271e63cd95ea18dcd3,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,
63,https://github.com/Juicechen95/facenet/commit/4b10e35315d19e4fc6386f5dd055d6babb721e3b,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,https://github.com/minghz/CapsNet-Tensorflow/commit/b3c947c5815aa8cb876b10c51e80f25d12273b88,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,https://github.com/lsheiba/CapsNet-Tensorflow-1/commit/e343265d2a029001bf5c2bfb2a0ebfd9c4fc30d9,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1
126,https://github.com/tambetm/fast-style-transfer/commit/23580803e11c11d29af79ad082b2771a5409ffcd,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,
164,https://github.com/hangqiu/darkflow/commit/682a86cf7ad4602368832d4628c9eda371d0860b,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,
175,https://github.com/goan15910/Faster-RCNN_TF/commit/de7dd6be5c55d43017b5ae18c893994b7d2126a4,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,
176,https://github.com/saizhang12/Faster-RCNN_TF/commit/09b2f7cbef50dca0f452ebcf29fe43bfc292b431,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,https://github.com/amirbar/FastMaskRCNN/commit/97d848bb5f10d0c7b65030fec9c70f32ea1d7eef,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,https://github.com/lcssos/FastMaskRCNN/commit/6681161503ad47589916f1d78a60b0dbd381b6cc,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,
189,https://github.com/yangcan2017/text-detection-ctpn/commit/30d3c59a59fb8926aea1ecb21c866240accc2a5a,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,
190,https://github.com/robingong/text-detection-ctpn/commit/8d86e0868c2cdf453f24c2bbbfc3ed89a2650c76,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,https://github.com/scisofttools/DeepLabCut/commit/8397bdabd84ce70da07fa7bd1e5aeebaad25b8bc,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,Rater_0Rater_1,,,,Rater_0Rater_1,,,Rater_0Rater_1,,Rater_0Rater_1,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,
