Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
536,https://github.com/atriumlts/subpixel/commit/9141f772c2112b2492ef87c6269dae5f363c1a2d,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/0e8c609bb55c995b1f94a7867d1fc3cdb69e3259,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,
2,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/4a0300f0f982846abd47acad94d99de978a10b72,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,
4,https://github.com/JRCondeNast/tf-faster-rcnn/commit/ebcc997c881870839073836f230c8682089ba7d1,,,Rater_0Rater_1,Rater_0Rater_1,,,,Rater_0Rater_2Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,
13,https://github.com/dengdan/tf-faster-rcnn/commit/2e798611dbcb2778dbc1d3de269aefe60bf8c217,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://github.com/JosephKJ/tf-faster-rcnn/commit/f9446ac0a89b85a2327a36f480557290aab42809,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,Rater_0Rater_2Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://github.com/benchou1919/KittiSeg/commit/a8f23b462b1a244edd53b9fe5867587c67a3a1c5,,,,Rater_0Rater_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,
18,https://github.com/rowjay/neural-style/commit/a6df090d5c296a0e2becda38b8158495e77d8ef5,Rater_0Rater_2Rater_1,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://github.com/leshy/neural-style/commit/e5e5a05c114862a29b98efb89fc24324ec4cd166,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://github.com/wuqianliang/facenet/commit/aa9e319e2185c3c4955541f881cc0abc49f2a422,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,https://github.com/slai11/youtube-8m/commit/2397c090dc0fb268bdcf1a6a2ec262d8181598de,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,https://github.com/BoseAslCohort/youtube-8m/commit/c1b01315bafc24e83248cd862a9324bb21d4d52d,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,
93,https://github.com/sheh/deep_sort/commit/ec429b4641e067a6702dbe72a57eda55ac95f493,,,,Rater_0Rater_1,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,,,,,,,
96,https://github.com/PJunhyuk/deep_sort/commit/f3aff3db4bcad801c35151e674792a51bddacc58,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,https://github.com/mflood/fast-style-transfer/commit/7216ab7ef6f58bcb156703083f1c72b7e7503f59,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,https://github.com/dkermany/darkflow/commit/cece15f9cb8d68cd1ca23291615e73b1a3502f2a,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,
175,https://github.com/goan15910/Faster-RCNN_TF/commit/de7dd6be5c55d43017b5ae18c893994b7d2126a4,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,
212,https://github.com/Cuky88/TensorBox/commit/ec75ab58ef0bc9a0aec7c3ee6fd443c42e96ad57,,,,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,https://github.com/dreyk/fast-style-transfer/commit/a1001b8a167dce21aab11e7dab47854ad175a876,,,,Rater_1Rater_0,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
