Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
12,https://github.com/endernewton/tf-faster-rcnn/commit/c8da80531e577583eb01f9e61960354e0129a944,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,Rater_2Rater_1,,,,,,,,,,,,,,,,
13,https://github.com/endernewton/tf-faster-rcnn/commit/334ed99fafe4ff009340c2b2fbc72cf41dc760b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
14,https://github.com/endernewton/tf-faster-rcnn/commit/a440734d7b72dc2e6a4e73a786edf40115ef43ca,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,Rater_2Rater_1,,,,,,,,,,,,,,,,
20,https://github.com/endernewton/tf-faster-rcnn/commit/6035e81f4fa9869e4e13715db976396d86391765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
21,https://github.com/endernewton/tf-faster-rcnn/commit/cece58c0c7d5a51adf25d7670ee77e5f92a8f730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
24,https://github.com/endernewton/tf-faster-rcnn/commit/a46135b337e91be5c1582ff3dbd1e5a1c569ed0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
25,https://github.com/endernewton/tf-faster-rcnn/commit/c242ba3b42b39f6cfc1cbfb9267b57a273de953f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
26,https://github.com/endernewton/tf-faster-rcnn/commit/00610c4f9a8bfffe6a84206fa7e1061cb99cb546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
30,https://github.com/MarvinTeichmann/KittiSeg/commit/2ff0d1973e9c598a9a35e31958f9ad40f1a12cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
31,https://github.com/MarvinTeichmann/KittiSeg/commit/74859333f8cec06532e40d590bf00cd70e41ac79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
32,https://github.com/MarvinTeichmann/KittiSeg/commit/e007acc84e3346ceab0f4581526f927bd888adbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
33,https://github.com/MarvinTeichmann/KittiSeg/commit/71f57f4d7eaabf6171c45e42129e17933ca4aa1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
34,https://github.com/MarvinTeichmann/KittiSeg/commit/763dd17f691445e662458b84eacfe57368507075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
35,https://github.com/MarvinTeichmann/KittiSeg/commit/663e6511b6fb59277e2b105abbebcd878477b6f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
36,https://github.com/MarvinTeichmann/KittiSeg/commit/75c363d6d440e01d77d57aa080f10b839531127c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
40,https://github.com/anishathalye/neural-style/commit/b1ff2f439a8395e58a8480946ac36c4d12254190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
52,https://github.com/davidsandberg/facenet/commit/e56c4d272142aa108ab27fa682d4b6aaf50fbc42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
53,https://github.com/davidsandberg/facenet/commit/15bd6a42bd07728e5400a386e93414d9a7f52993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,
55,https://github.com/davidsandberg/facenet/commit/15839c8d730660eacad35ca267938834fdbe3403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
76,https://github.com/google/youtube-8m/commit/6f52628590a5f8c98af4f2c9fa01df38e6e7c0fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,
81,https://github.com/google/youtube-8m/commit/7d64cb458e012d1d50b6f3f2c286c653ea6f6fc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
90,https://github.com/google/youtube-8m/commit/f071ad9374bcef5241fc887b50277f76a06cecdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
91,https://github.com/google/youtube-8m/commit/34bdc2ddb9f0e387e395b1d6f5e64263f423198e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
92,https://github.com/google/youtube-8m/commit/25de842008e4a9d857715bff5e79140ad56a5baf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
93,https://github.com/google/youtube-8m/commit/39a0596f7c479c24ce68ea2884cd5bf6ffa0ba21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
94,https://github.com/google/youtube-8m/commit/a3abf26699ec4c0ccc952d5e182bf6b52d371372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
112,https://github.com/google/youtube-8m/commit/f0eed292ab285fc89f9ef6e3ef43798bff9d14d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,Rater_1Rater_0,,,,,,,,,,
113,https://github.com/google/youtube-8m/commit/426a5d2b3f21a1181149fc8727af2f450a4d8293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,
116,https://github.com/google/youtube-8m/commit/9b7b546e952e7bbb586668e78c70a48eee8f9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
118,https://github.com/google/youtube-8m/commit/bac206a0616e260641dabfbe39c0d8271fe7ffc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
119,https://github.com/google/youtube-8m/commit/3723eef6e77c8935557c0115a7acceb8895237b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
123,https://github.com/google/youtube-8m/commit/e985a52ef4b58057877ea04e206460451fccd103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,
128,https://github.com/google/youtube-8m/commit/0713b8d81654a8344272dba01f985450161ffed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
129,https://github.com/google/youtube-8m/commit/4a498a2e73b6f93703eb1b6c76950eef5ce035ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
131,https://github.com/google/youtube-8m/commit/e06dd105922883a8fa3c53a10bea54ec2f7dbb2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
132,https://github.com/google/youtube-8m/commit/29b589b3464a301a459d0029670500dffb926ab8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
134,https://github.com/google/youtube-8m/commit/a7e9798ec49b856ae14d50dd492fb9c67390c226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
135,https://github.com/google/youtube-8m/commit/a280ef38bdca1d082b87d134de00dde4811c1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
136,https://github.com/google/youtube-8m/commit/1c4f119e46cf3455086c89cc83c33c8f612bc791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
137,https://github.com/google/youtube-8m/commit/6decacf7a315097c467514036e009b13f8eabe3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
138,https://github.com/google/youtube-8m/commit/e164ca1d7ee47dae50cbfed27c8b6b212c5a85c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
139,https://github.com/google/youtube-8m/commit/0edb0e7f86994dc4bddff2fdee4b1d5d07232640,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
140,https://github.com/google/youtube-8m/commit/1787a1c62dda9994185e7080b473059dd4e8fee7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
141,https://github.com/google/youtube-8m/commit/e304918c8713c0df8c61f4b575ab65881a9c871e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
142,https://github.com/google/youtube-8m/commit/01898b946e4cb5eb58d04f75e49b0467ae20ed11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
146,https://github.com/naturomics/CapsNet-Tensorflow/commit/b5d4a62df8615430356c327eeb02b938b8f90280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
147,https://github.com/naturomics/CapsNet-Tensorflow/commit/ef1dd5cb9d27b44aea6b6db9cc866ab770ddf89b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,
