Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
49,https://github.com/davidsandberg/facenet/commit/fae7ec5b8f8a9e69b03bce91b719e9e90a09732c,,,Rater_1Rater_0,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,https://github.com/davidsandberg/facenet/commit/844df1603dbc31e8924adf1af35c3232a3ebefd7,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
68,https://github.com/google/youtube-8m/commit/f2d09a1750009c85c747e6eea4d9c1ccc6db09cb,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,https://github.com/google/youtube-8m/commit/f5a5d0e8a77d0a4a62c918ad4579efac402f31d7,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,https://github.com/thtrieu/darkflow/commit/b52e68760b6ba903ac0a95c009144fb55b9e27ca,,,,,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,https://github.com/davidsandberg/facenet/commit/a8a43812b56c49dc0a97b86f9ca2a771cfb66077,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,https://github.com/google/youtube-8m/commit/ae42073493a227155c5f23dbdd05e576c3bfa424,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,https://github.com/google/youtube-8m/commit/670a7f5aa1b9c5f367f2cdbde4c035f0794a19ae,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,https://github.com/google/youtube-8m/commit/17244152a753da3df5855505b140cc95ddacce89,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://github.com/evanthomas/neural-style/commit/31de3772fc253984a017ed08ccd27587d3511d38,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,
