Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
10,https://github.com/endernewton/tf-faster-rcnn/commit/256603817ae4527dfe98a45f7151d2fa12f179cf,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
12,https://github.com/endernewton/tf-faster-rcnn/commit/c8da80531e577583eb01f9e61960354e0129a944,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,Rater_2Rater_1,,,,,,,,,,,,,,,,
14,https://github.com/endernewton/tf-faster-rcnn/commit/a440734d7b72dc2e6a4e73a786edf40115ef43ca,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,Rater_2Rater_1,,,,,,,,,,,,,,,,
18,https://github.com/endernewton/tf-faster-rcnn/commit/d502db8b7087326296f1b5a6c189196c01b411e3,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
60,https://github.com/davidsandberg/facenet/commit/998b9b578760ac0470b89e629daa378f684a6283,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
100,https://github.com/google/youtube-8m/commit/1ad1fcc114fe73cf17e0599b376f9ce6664831f5,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
106,https://github.com/google/youtube-8m/commit/2356935569197915ea84af1608098c336f9fc273,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,
115,https://github.com/google/youtube-8m/commit/60517a5b0ce7bdc7e05c9ae57d08622afa7a4671,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,
126,https://github.com/google/youtube-8m/commit/cc95ac9ab7d0fec0bd9248a74b20c9dc778160a6,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,
130,https://github.com/google/youtube-8m/commit/58b23dfde0e4545560a5bf269243c23f7116bf51,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
162,https://github.com/thtrieu/darkflow/commit/3d4afc6a08dae7ec75aeff1ba2e4706e500fbed8,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
164,https://github.com/thtrieu/darkflow/commit/dafad2f5459228de5decb185502e7a3929b7806d,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
168,https://github.com/thtrieu/darkflow/commit/d23d4272b3e4cf435523495be71236934487c331,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
171,https://github.com/thtrieu/darkflow/commit/4c704f903e9f9ee8e30c8883af338a8b33a41163,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
