Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
61,https://github.com/davidsandberg/facenet/commit/6718c3be9d1f70a41a45335f982a4dd29c2b0e88,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,https://github.com/lengstrom/fast-style-transfer/commit/5fe040ceacb41f1064271cc34500fdca642f763d,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,https://github.com/thtrieu/darkflow/commit/34d72afb491ed0d6de392d967d6e515e5c14ec64,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,https://github.com/smallcorgi/Faster-RCNN_TF/commit/7fded7ebd94f05dc5a2a0ce3eb58b0210c198fbd,,,,,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/c7f95547efdd1dd9e2980a12c0a7f99ad2b85ff5,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,
323,https://github.com/AlexEMG/DeepLabCut/commit/ccaec318bf15dcd7dd4c1afcc30b83e216b2215a,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/c7f95547efdd1dd9e2980a12c0a7f99ad2b85ff5,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,
117,https://github.com/frankgrt/fast-style-transfer/commit/a7125bd4055a4bb61c4716524fac4ad2edf5eff1,,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,https://github.com/JayLSU/fast-style-transfer/commit/a7125bd4055a4bb61c4716524fac4ad2edf5eff1,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,https://github.com/shabazpatel/fast-style-transfer/commit/a7125bd4055a4bb61c4716524fac4ad2edf5eff1,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,https://github.com/cmiller112000/fast-style-transfer/commit/a7125bd4055a4bb61c4716524fac4ad2edf5eff1,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,https://github.com/avoroshilov/neural-style/commit/c403eff3f9dc4d7b9aeeb42aea16131094e10a7e,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
