Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
9,https://github.com/endernewton/tf-faster-rcnn/commit/c99c225f23909d38811ab7957eac2db2859eea5b,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1,Rater_2Rater_0,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,,,
41,https://github.com/anishathalye/neural-style/commit/e05d4a899ad933dfae99aa5cde80032c1fe05f9b,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
44,https://github.com/davidsandberg/facenet/commit/cebc2555904ceb5f4c1ad393bcce75c088282cb2,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
66,https://github.com/google/youtube-8m/commit/d2a38a0c8a66b9b71c0f1b857f910be329ca5b79,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,
79,https://github.com/google/youtube-8m/commit/c44dbfc7a050c6cb74ff4f88aad456545fd8c126,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
103,https://github.com/google/youtube-8m/commit/7d744157fe632e8f215c05d25464ae06dc3971df,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
109,https://github.com/google/youtube-8m/commit/6565ce898649d670bc763dc2cc2b700a24e9870e,,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
191,https://github.com/thtrieu/darkflow/commit/bbfb0742ce0254b1bb2511498f6fc506009da480,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,
194,https://github.com/thtrieu/darkflow/commit/a5caa85367f476a4f0cfe97f17beba206028cfce,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,
249,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/c12368d39aa3633231a35d5cc788b14ce604403e,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
