Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
187,https://github.com/thtrieu/darkflow/commit/89fb1a57ed5febcbc4679d32c8eca0486f5bb331,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,https://github.com/thtrieu/darkflow/commit/416ae17a8d01b5f0e41ab20122dda0233d1f3a46,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://github.com/seonho/facenet/commit/daebfde38a2d9a01b3debbd4cbaceb402ad3bde1,,,Rater_0Rater_1,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,Rater_0Rater_1,,
39,https://github.com/DanDyDunder/facenet/commit/9c1b7ebf862462b330b2e2752f54d4f796879912,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,
40,https://github.com/DanDyDunder/facenet/commit/503743470a9167cc40129c8183e777106725ce78,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,
47,https://github.com/mhs-rajaei/facenet/commit/9991be76d0951c9a729dff332394383d4bf6cce1,,,,,,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,
61,https://github.com/taojin1992/facenet/commit/3cbd8f9867b52e25c49c363b6a972c2084398b56,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,https://github.com/lUllLabs/fast-style-transfer/commit/48b035f98ebc4cc2c51cc5ea5429bc8644975a35,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,https://github.com/amirbar/FastMaskRCNN/commit/97d848bb5f10d0c7b65030fec9c70f32ea1d7eef,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,https://github.com/bf777/DeepLabCut/commit/f9fa712bbf5eed3dc8622b359f3018dfe881345a,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,https://github.com/hektorbot/neural-style/commit/1c6b81cbd2749c64fbb044c15914bf03c20dfeec,,,,,,,,,,,,,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,https://github.com/Kshitij-Khode/facenet/commit/e24dccc87eb50388cb88b0ab56456672f368f91b,,,,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,https://github.com/EdwardDixon/facenet/commit/f251967786dc711f4aac3151e7b1c5907cb9c22e,,,,,,,,,,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,
315,https://github.com/daidahao/fast-style-transfer/commit/48b035f98ebc4cc2c51cc5ea5429bc8644975a35,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,https://github.com/SallyM/fast-style-transfer/commit/48b035f98ebc4cc2c51cc5ea5429bc8644975a35,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,https://github.com/MarcGroef/darkflow/commit/7a7a7905d9b8371cc083b41007e8f1ce24a6468b,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,https://github.com/goan15910/Faster-RCNN_TF/commit/6fa57dc7d66f73f17d979f5db4696eba5001d3fe,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,https://github.com/lcssos/Faster-RCNN_TF/commit/65b022d7ae9f0880ba78a44e0ab01400e02a527b,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,
