Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
47,https://github.com/davidsandberg/facenet/commit/e6ca59b8a32518f180504433be7586161b7e8bc4,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,https://github.com/google/youtube-8m/commit/cc870e9118b1deb409818f75e3db648c03a1cfb3,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,https://github.com/google/youtube-8m/commit/8b53b48a69a8861a2b6619c1efc834986ce6a2d3,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,https://github.com/google/youtube-8m/commit/f97a2a0e0acdc4ee803edd4c3b1cf363a15e21bd,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,https://github.com/google/youtube-8m/commit/53ba9e5279232cc51c5a7c8111e695c596992636,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
102,https://github.com/google/youtube-8m/commit/f3413a88bb59fb8085b9f33bd899d2b82f5b5e2e,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
105,https://github.com/google/youtube-8m/commit/8381d47979d8e95c3678496e166cebd9ba149ba1,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
107,https://github.com/google/youtube-8m/commit/8368971b4469fcc676f335c98da8e85242599682,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
108,https://github.com/google/youtube-8m/commit/0e526caace96d3cf6f0686757d568f9ffba998b4,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,
117,https://github.com/google/youtube-8m/commit/d2955e4b4b4dc44a1812db097ce64707d9649f25,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
