Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
0,https://github.com/endernewton/tf-faster-rcnn/commit/0e9309bf6f8a1afaf033b7225abdacf9a60779fc,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://github.com/endernewton/tf-faster-rcnn/commit/acb364301211c6564985769dbd215f6e5abccb1d,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://github.com/endernewton/tf-faster-rcnn/commit/83744d0260666d96924e5dd834ce047fb758a08c,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://github.com/endernewton/tf-faster-rcnn/commit/ce4a8acc617d2b9665135a569e74186bb79a2457,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://github.com/endernewton/tf-faster-rcnn/commit/560489ea501241fcd4d0989d178acd02cbb14438,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://github.com/endernewton/tf-faster-rcnn/commit/c9ace58675aa89d81585bbbbd762f23a46d2244d,,Rater_2Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://github.com/endernewton/tf-faster-rcnn/commit/be1a02a1348900621d738eb038f4f479666a1983,,,Rater_1Rater_0Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://github.com/endernewton/tf-faster-rcnn/commit/132154bb38f229a469791b3a532d1a334aebadb7,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://github.com/endernewton/tf-faster-rcnn/commit/82427e909a6020ef6ccbde0d8ab9009b2b1f5fed,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://github.com/endernewton/tf-faster-rcnn/commit/c99c225f23909d38811ab7957eac2db2859eea5b,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1,Rater_2Rater_0,,,,,,,,,,,,,,,,,Rater_2Rater_0,,,,,,,
10,https://github.com/endernewton/tf-faster-rcnn/commit/256603817ae4527dfe98a45f7151d2fa12f179cf,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,
11,https://github.com/endernewton/tf-faster-rcnn/commit/28129df4cbd81444889166da6510c9d156fd9253,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
