Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
1,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/0e8c609bb55c995b1f94a7867d1fc3cdb69e3259,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,
2,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/4a0300f0f982846abd47acad94d99de978a10b72,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
9,https://github.com/SamyMe/tf-faster-rcnn/commit/d18f6c6648dc22c959ebae950ed3944b259e9d82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_2Rater_1,,,,,Rater_0Rater_2Rater_1,,,,,,Rater_0Rater_2Rater_1
19,https://github.com/evanthomas/neural-style/commit/31de3772fc253984a017ed08ccd27587d3511d38,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,
23,https://github.com/avoroshilov/neural-style/commit/73e82646a53d4938b618bff9aeddc08596b960a9,,,,,,,Rater_0Rater_2Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_2Rater_1,,,,,,
42,https://github.com/rongliangzi/facenet/commit/ac0c6d083aca18aaae62cdc70c7cc1e5e7a3f18c,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,Rater_0Rater_1,Rater_0Rater_1,,,Rater_0Rater_1,,,,Rater_0Rater_1,Rater_0Rater_1,
43,https://github.com/whitenightwu/facenet/commit/b8f9feb3729036af4b0132ae1f8e2c9a51bfa9c1,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,Rater_0Rater_1,Rater_0Rater_1,,,Rater_0Rater_1,,,,Rater_0Rater_1,,
53,https://github.com/loomai/facenet/commit/35613f0af7d723739ccd7cc519a09bf8f4d3dec9,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
58,https://github.com/eewindfly/facenet/commit/16c64e0c677cb23ddd7d2b271e63cd95ea18dcd3,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
73,https://github.com/aglotero/youtube-8m/commit/e553ba9acf74bf9b0fc43d2ed0d6d996fe474562,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
77,https://github.com/Strideradu/youtube-8m/commit/5643bc328053248f3c10d2ef37404996ccf5ab6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,
78,https://github.com/Strideradu/youtube-8m/commit/d49d72d10f801857dddac9351ca670f75f136cca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,
79,https://github.com/Strideradu/youtube-8m/commit/fb05d227f33009b897c0b0947ca0a481dff53a7e,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,
80,https://github.com/Strideradu/youtube-8m/commit/d2ef961ba07d9fdb67957d01aec4521c2c017c94,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,
100,https://github.com/ec2ainun/fast-style-transfer/commit/49cf9da2189cb97758e8456888e4cff876def98d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_2,,,,,,,,,,Rater_0Rater_2,,,,,Rater_1,
104,https://github.com/JEF1056/fast-style-transfer/commit/f7401f9e373eb59d8efe1193f7bb8dba009d495a,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
106,https://github.com/JEF1056/fast-style-transfer/commit/95d6722f30aa3198ae7bc6dd06e66a1d979004d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
110,https://github.com/MatchSG/fast-style-transfer/commit/49cf9da2189cb97758e8456888e4cff876def98d,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,
111,https://github.com/stefanistrate/fast-style-transfer/commit/2c3d90b237fe437c4ec58ded108fa254e689556c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
113,https://github.com/benuri/fast-style-transfer/commit/aab9bf71bf47ff8a5cd78dd01972ea9f9b0e7ae0,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,
125,https://github.com/tambetm/fast-style-transfer/commit/457d4122918177a2f5679a3b036d580b7ea68a4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,
