Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
250,https://github.com/YongWookHa/subpixel/commit/7c86d238ea0e448220b0e02789a88f045b1eec6a,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,
159,https://github.com/gilirusak/darkflow/commit/c28ac2f17874ab0b4425b8090cd2949e0a09d909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
240,https://github.com/Samreay/neural-style-tf/commit/f0ebf31e12e08ccebdcc8543e1685fe1c29f6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
103,https://github.com/paulcarfantan/fast-style-transfer/commit/de43b724bffaa6f41606d0457caddf1b78015d33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,,,,,,
168,https://github.com/ICRAR/rgz-faster-rcnn/commit/c4ddb63dce177e6288042cada4862a3e5c829218,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,,,,,,
87,https://github.com/lsheiba/CapsNet-Tensorflow-1/commit/7c80553e049ab43aa3726d9353c3c63e71712487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
247,https://github.com/tuq820/Realtime_Multi-Person_Pose_Estimation/commit/8238acb7c2aee728555c05f95c5b118b732f665e,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,,Rater_0Rater_1
109,https://github.com/Pariyat/fast-style-transfer/commit/5f027d8d4b2083254afd32d285653195bb25ec53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,,,,,,,,,,,
113,https://github.com/benuri/fast-style-transfer/commit/aab9bf71bf47ff8a5cd78dd01972ea9f9b0e7ae0,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,
60,https://github.com/scanner-research/facenet/commit/faf6a03da96409b1cf284f6a30f486e86e745316,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
154,https://github.com/rgparask/darkflow/commit/eff29b9c98b4bcf05ba70c0c0c0262abdc32759e,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,
85,https://github.com/zengs/CapsNet-Tensorflow/commit/989aa47489ceac0af001218f63765c1ff3f6e2c3,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
26,https://github.com/minostauros/neural-style/commit/d61bfaec5eae2c094292c8bf4f73e894ea4d81cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
166,https://github.com/thtrieu/darkflow/commit/3259b8fb7e21e8ede23f41f7358cb9d71defeb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
107,https://github.com/sharan-naribole/fast-style-transfer/commit/60c6dfd7312e42b0d76426af1224dfdaf4d1c85d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
152,https://github.com/lengstrom/fast-style-transfer/commit/ffdec65daf2e323f9577f402120270e4c53ccc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
340,https://github.com/atriumlts/subpixel/commit/b94c9afaee68d8b7236875a48dfc538497e266c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
139,https://github.com/MarcGroef/darkflow/commit/bd75285c9e7ffadd09fba9ea06612f32dad2f3f8,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,
46,https://github.com/davidsandberg/facenet/commit/01f57667639054dd6948a90c77fd0e8888e8b559,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
264,https://github.com/srv/Posidonia-semantic-segmentation/commit/660a419fef0832d1c08fea07c1c4a51eef462356,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
266,https://github.com/byungsook/neural-style/commit/e8b51f40cfe44000bc6170b23c5fa062a02f7b53,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,
8,https://github.com/nikolaevra/tf-faster-rcnn/commit/a7b4412737db3c4556242912d6108d27207e9883,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_2,,,Rater_0Rater_2,,,,,,Rater_0Rater_2,Rater_0Rater_2,,,Rater_0Rater_2Rater_1,,,,Rater_0Rater_2,,,,,,,,,,
