,Unnamed: 0,Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
51,356,356,https://github.com/Intermodalics/FastMaskRCNN/commit/dc1ddcceee71f76071b9f055c1bb265a4707abc1,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
1,2,2,https://github.com/pierre-ecarlat/tf-faster-rcnn/commit/4a0300f0f982846abd47acad94d99de978a10b72,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
6,43,43,https://github.com/whitenightwu/facenet/commit/b8f9feb3729036af4b0132ae1f8e2c9a51bfa9c1,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,Rater_0Rater_1,Rater_0Rater_1,,,Rater_0Rater_1,,,,Rater_0Rater_1,,
27,153,153,https://github.com/chewwt/darkflow/commit/90c39b7c29c4266420c2a0b3b3674fe51e57e004,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
35,235,235,https://github.com/scisofttools/DeepLabCut/commit/af1f4501e86187e416bbbfb04d27c975b5fd539f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
46,321,321,https://github.com/rjdbcm/darkflow/commit/5139613e577c044d17ed4632ef45f93f92940de0,,,,,,,,,,,,Rater_1Rater_0,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,
29,158,158,https://github.com/Deepomatic/darkflow/commit/97fd1489500d8c3e91102b71b71d12e6839c8097,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,,
50,351,351,https://github.com/anadodik/tensorflow-fcn/commit/87e7148efd986e14ec0841d4b9cd30f77d9f9f56,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
24,143,143,https://github.com/vinicius-trev/darkflow/commit/ee8778e2accf498e548f370ff28892895df36483,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,
15,104,104,https://github.com/JEF1056/fast-style-transfer/commit/f7401f9e373eb59d8efe1193f7bb8dba009d495a,Rater_0Rater_1,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,
